instances,accuracy,kappa,kappa_t,kappa_m,f1_score,f1_score_0,f1_score_1,precision,precision_0,precision_1,recall,recall_0,recall_1
100.0,64.0,2.9649595687331565,29.41176470588236,-9.090909090909099,52.673408090990016,14.285714285714285,77.21518987341771,54.22427035330261,42.857142857142854,65.59139784946237,51.208791208791204,8.571428571428571,93.84615384615384
200.0,66.0,0.0,24.444444444444443,0.0,,,79.51807228915662,,,66.0,50.0,0.0,100.0
300.0,67.0,0.0,25.0,0.0,,,80.23952095808384,,,67.0,50.0,0.0,100.0
400.0,65.0,0.0,25.53191489361702,0.0,,,78.7878787878788,,,65.0,50.0,0.0,100.0
500.0,68.0,0.0,28.888888888888893,0.0,,,80.95238095238095,,,68.0,50.0,0.0,100.0
600.0,56.99999999999999,0.0,17.307692307692303,0.0,,,72.61146496815287,,,56.99999999999999,50.0,0.0,100.0
700.0,62.0,0.0,28.301886792452834,0.0,,,76.5432098765432,,,62.0,50.0,0.0,100.0
800.0,56.99999999999999,0.0,4.444444444444424,0.0,,,72.61146496815287,,,56.99999999999999,50.0,0.0,100.0
900.0,69.0,0.0,29.545454545454525,0.0,,,81.65680473372781,,,69.0,50.0,0.0,100.0
1000.0,61.0,0.0,20.40816326530612,0.0,,,75.77639751552795,,,61.0,50.0,0.0,100.0
1100.0,62.0,0.0,11.627906976744196,0.0,,,76.5432098765432,,,62.0,50.0,0.0,100.0
1200.0,56.99999999999999,0.0,-2.3809523809523827,0.0,,,72.61146496815287,,,56.99999999999999,50.0,0.0,100.0
1300.0,56.00000000000001,0.0,-7.317073170731686,0.0,,,71.7948717948718,,,56.00000000000001,50.0,0.0,100.0
1400.0,67.0,0.0,23.255813953488392,0.0,,,80.23952095808384,,,67.0,50.0,0.0,100.0
1500.0,62.0,0.0,-11.764705882352953,0.0,,,76.5432098765432,,,62.0,50.0,0.0,100.0
1600.0,56.99999999999999,0.0,4.444444444444424,-2.3809523809523827,,,72.61146496815287,,,56.99999999999999,50.0,0.0,100.0
1700.0,62.0,0.0,15.555555555555548,0.0,,,76.5432098765432,,,62.0,50.0,0.0,100.0
1800.0,61.0,0.0,13.333333333333321,0.0,,,75.77639751552795,,,61.0,50.0,0.0,100.0
1900.0,61.0,0.0,23.52941176470588,0.0,,,75.77639751552795,,,61.0,50.0,0.0,100.0
2000.0,57.99999999999999,0.0,8.695652173913029,0.0,,,73.41772151898734,,,57.99999999999999,50.0,0.0,100.0
2100.0,54.0,4.326123128119809,-2.2222222222222245,2.1276595744680873,52.39627891523734,36.11111111111111,64.0625,52.702702702702695,50.0,55.4054054054054,52.09339774557166,28.26086956521739,75.92592592592592
2200.0,56.99999999999999,-1.9924098671726664,10.416666666666654,2.27272727272725,36.30573248407644,,72.61146496815287,28.78787878787879,0.0,57.57575757575758,49.137931034482754,0.0,98.27586206896551
2300.0,62.0,4.8096192384769525,24.0,0.0,54.186924149185735,17.391304347826086,75.32467532467533,56.52173913043479,50.0,63.04347826086957,52.03735144312394,10.526315789473683,93.54838709677419
2400.0,57.99999999999999,-4.011887072808347,-13.513513513513525,-13.513513513513525,47.32287723093564,16.0,72.00000000000001,46.41909814323608,30.76923076923077,62.06896551724138,48.26254826254826,10.81081081081081,85.71428571428571
2500.0,62.0,2.313624678663241,17.391304347826082,-8.57142857142858,51.48434138719684,20.833333333333332,75.0,51.9893899204244,38.46153846153847,65.51724137931035,50.989010989010985,14.285714285714285,87.6923076923077
2600.0,44.0,-13.22280630812777,-9.803921568627448,-5.66037735849056,43.33846964470612,50.0,36.36363636363637,43.24100868127325,47.45762711864407,39.02439024390244,43.43637093536732,52.83018867924528,34.04255319148936
2700.0,60.0,-0.20040080160321216,11.111111111111098,2.439024390243904,49.87350921575714,20.0,73.33333333333334,49.83388704318937,35.714285714285715,63.95348837209303,49.91319444444444,13.88888888888889,85.9375
2800.0,47.0,-6.000000000000005,1.851851851851843,-1.9230769230769247,46.984843598839085,44.21052631578947,49.523809523809526,46.96969696969697,46.666666666666664,47.27272727272727,47.0,42.0,52.0
2900.0,53.0,-11.374407582938371,6.000000000000005,-30.555555555555554,43.64433312460863,17.54385964912281,67.13286713286712,42.5,25.0,60.0,44.851994851994846,13.513513513513514,76.19047619047619
3000.0,52.0,-3.0485186775440085,2.040816326530614,-17.073170731707304,48.43620821190193,33.33333333333333,62.500000000000014,48.34034595605423,38.70967741935484,57.971014492753625,48.53245142620918,29.268292682926827,67.79661016949152
3100.0,63.0,20.25862068965519,24.489795918367346,9.756097560975617,60.443611183248095,47.887323943661976,71.31782945736434,61.1904761904762,56.666666666666664,65.71428571428571,59.7147581645308,41.46341463414634,77.96610169491525
3200.0,49.0,-9.91379310344826,-8.51063829787235,-24.390243902439018,44.881984730983085,28.169014084507044,60.465116279069775,44.52380952380952,33.33333333333333,55.714285714285715,45.24596940884663,24.390243902439025,66.10169491525424
3300.0,44.0,-16.91022964509395,-14.285714285714288,-30.23255813953487,41.41601771808245,28.205128205128204,54.0983606557377,41.098901098901095,31.428571428571427,50.76923076923077,41.73806609547124,25.581395348837212,57.89473684210527
3400.0,52.0,-12.359550561797743,2.040816326530614,-33.33333333333333,43.503937007874015,20.0,65.71428571428571,42.76315789473684,25.0,60.526315789473685,44.27083333333333,16.666666666666664,71.875
3500.0,47.0,-7.5487012987013005,-10.416666666666677,-15.21739130434784,46.20568262919523,39.08045977011494,53.09734513274337,46.15543613063249,41.46341463414634,50.847457627118644,46.256038647343,36.95652173913043,55.55555555555556
3600.0,59.0,7.071622846781506,-2.500000000000002,-13.8888888888889,53.586074642277616,36.92307692307693,69.62962962962963,53.78824672170956,41.37931034482759,66.19718309859155,53.385416666666664,33.33333333333333,73.4375
3700.0,51.0,-14.700374531835198,2.0000000000000018,-32.432432432432435,42.023118827492105,16.949152542372882,65.24822695035462,40.850815850815856,22.727272727272727,58.97435897435898,43.264693264693264,13.513513513513514,73.01587301587301
3800.0,56.99999999999999,10.491257285595337,8.510638297872324,0.0,55.30426813981033,45.56962025316456,64.46280991735537,55.46875,50.0,60.9375,55.14075887392901,41.86046511627907,68.42105263157895
3900.0,50.0,-0.32102728731943136,16.666666666666664,-16.279069767441847,49.83935649395872,52.83018867924528,46.80851063829787,49.8389694041868,51.85185185185185,47.82608695652174,49.83974358974359,53.84615384615385,45.83333333333333
4000.0,49.0,-4.081632653061228,1.9230769230769247,8.928571428571425,47.94821154268159,39.99999999999999,55.65217391304348,47.916666666666664,42.5,53.333333333333336,47.97979797979798,37.77777777777778,58.18181818181818
4100.0,64.0,7.216494845360858,5.263157894736847,-19.99999999999998,53.70370370370371,30.769230769230766,75.67567567567569,54.07925407925408,36.36363636363637,71.7948717948718,53.333333333333336,26.666666666666668,80.0
4200.0,57.99999999999999,15.151515151515124,-7.692307692307699,6.666666666666648,57.57575757575757,53.333333333333336,61.81818181818181,57.57575757575757,53.333333333333336,61.81818181818181,57.57575757575757,53.333333333333336,61.81818181818181
4300.0,41.0,-25.531914893617035,1.666666666666659,-47.5,37.153419593345646,21.333333333333332,52.800000000000004,36.81318681318681,22.857142857142858,50.76923076923077,37.5,20.0,55.00000000000001
4400.0,64.0,14.651493598862015,0.0,-9.090909090909099,57.41007194244604,40.0,74.28571428571429,57.8386605783866,44.44444444444444,71.23287671232876,56.98778833107192,36.36363636363637,77.61194029850746
4500.0,49.0,-4.251839738348332,3.7735849056603805,-15.909090909090926,47.86997283799177,40.0,55.65217391304347,47.85035138486978,41.46341463414634,54.23728813559322,47.88961038961039,38.63636363636363,57.14285714285714
4600.0,54.0,0.5620406398616616,2.1276595744680873,-17.948717948717935,50.28360219017566,36.11111111111111,64.0625,50.293984622342826,39.39393939393939,61.19402985074627,50.27322404371585,33.33333333333333,67.21311475409836
4700.0,56.00000000000001,8.485856905158082,6.382978723404261,-4.76190476190474,54.258188824662824,45.0,63.33333333333333,54.32937181663837,47.368421052631575,61.29032258064516,54.187192118226605,42.857142857142854,65.51724137931035
4800.0,61.0,12.94642857142858,13.333333333333321,-5.405405405405411,56.56056464945522,41.7910447761194,70.67669172932331,56.904761904761905,46.666666666666664,67.14285714285714,56.22050622050623,37.83783783783784,74.60317460317461
4900.0,51.0,1.2892828364222324,-4.255319148936175,-4.255319148936175,50.64583124232761,46.15384615384615,55.04587155963302,50.64935064935065,47.72727272727273,53.57142857142857,50.64231232436772,44.680851063829785,56.60377358490566
5000.0,56.99999999999999,10.788381742738576,-2.3809523809523827,12.244897959183662,55.395385933299856,46.913580246913575,63.86554621848739,55.41666666666667,47.5,63.33333333333333,55.37412153782555,46.34146341463415,64.40677966101694
5100.0,52.0,-5.309346204475647,-6.666666666666673,-29.729729729729726,47.3340096945102,31.428571428571427,63.07692307692307,47.263681592039795,33.33333333333333,61.19402985074627,47.4045474045474,29.72972972972973,65.07936507936508
5200.0,53.0,4.8582995951417045,-6.818181818181825,-4.444444444444449,52.42965312115895,47.19101123595506,57.657657657657644,52.435064935064936,47.72727272727273,57.14285714285714,52.424242424242415,46.666666666666664,58.18181818181818
5300.0,63.0,21.940928270042193,2.6315789473684235,7.500000000000007,60.99325074804454,51.948051948051955,69.91869918699187,61.15401115401116,54.054054054054056,68.25396825396825,60.83333333333334,50.0,71.66666666666667
5400.0,46.0,-8.043217286914757,0.0,-10.20408163265306,45.978391356542616,44.89795918367347,47.05882352941176,45.978391356542616,44.89795918367347,47.05882352941176,45.978391356542616,44.89795918367347,47.05882352941176
5500.0,49.0,-2.245388933440254,-4.081632653061228,-10.869565217391315,48.87707925434771,51.42857142857144,46.31578947368421,48.87820512820513,51.92307692307693,45.83333333333333,48.87595343235648,50.943396226415096,46.808510638297875
5600.0,56.00000000000001,-8.91089108910889,-7.317073170731686,-46.66666666666663,45.51742137544043,21.428571428571427,69.44444444444444,45.32224532224532,23.076923076923077,67.56756756756756,45.714285714285715,20.0,71.42857142857143
5700.0,63.0,0.3232758620689598,2.6315789473684235,-37.037037037037024,50.16351353860272,24.489795918367346,75.49668874172185,50.174825174825166,27.27272727272727,73.07692307692307,50.15220700152207,22.22222222222222,78.08219178082192
5800.0,55.00000000000001,5.063291139240511,2.173913043478263,-12.499999999999984,52.5369752273632,41.55844155844156,63.41463414634146,52.57400257400258,43.24324324324324,61.904761904761905,52.5,40.0,65.0
5900.0,56.00000000000001,11.894273127753307,-2.3255813953488134,10.204081632653072,55.95191747832049,54.16666666666667,57.6923076923077,55.96146126053794,55.319148936170215,56.60377358490566,55.942376950780314,53.06122448979592,58.82352941176471
